remove___1c4a1fbb6f2ede15___-2841,1759,0___90,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___74,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___74,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___79,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___79,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___84,-0,-0
remove___9d011b473e68d53f___-1416,2591,0___84,-0,-0
spawn___9d011b473e68d53f___-1416,2591,0___89,-0,-0
remove___6d958c3068c981e9___-1575,1900,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1905,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1905,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1910,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1910,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1915,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1915,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1920,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1920,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1925,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1925,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1930,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1930,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1935,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1935,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1940,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1940,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1945,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1945,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1950,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1950,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1955,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1955,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1960,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1960,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1965,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1965,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1970,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1970,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1975,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1975,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1980,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1980,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1985,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1985,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1990,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1990,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,1995,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,1995,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2000,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2000,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2005,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2005,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2010,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2010,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2015,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2015,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2020,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2020,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2025,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2025,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2030,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2030,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2035,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2035,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2040,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2040,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2045,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2045,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2050,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2050,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2055,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2055,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2060,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2060,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2065,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2065,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2070,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2070,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2075,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2075,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2080,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2080,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2085,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2085,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2090,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2090,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2095,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2095,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2100,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2100,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-90,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-90,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-96,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-96,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-102,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-102,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-108,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-108,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-114,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-114,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-120,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-120,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-125,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-125,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-130,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-130,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-135,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-135,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-140,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-140,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-146,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-146,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-151,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-151,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-157,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-157,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-162,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-162,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-167,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-167,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-172,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-172,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___-177,0,-0
remove___6d958c3068c981e9___-1575,2105,-3___-177,0,-0
spawn___6d958c3068c981e9___-1575,2105,-3___177,0,-0
spawn___252bd5e575fb1bd6___-1399,1792,76___0,0,-0
spawn___252bd5e575fb1bd6___-1424,1795,76___0,0,-0
spawn___252bd5e575fb1bd6___-1448,1798,76___0,0,-0
spawn___252bd5e575fb1bd6___-1457,1818,76___0,0,-0
spawn___252bd5e575fb1bd6___-1437,1832,76___0,0,-0
spawn___252bd5e575fb1bd6___-1412,1830,76___0,0,-0
spawn___252bd5e575fb1bd6___-1397,1816,76___0,0,-0
spawn___252bd5e575fb1bd6___-1422,1810,79___0,0,-0
spawn___252bd5e575fb1bd6___-1458,1804,80___0,0,-0
spawn___252bd5e575fb1bd6___-1443,1843,80___0,0,-0
spawn___252bd5e575fb1bd6___-1425,1786,80___0,0,-0
